Comment,Task 1 A,Task 1 B,
Not living as if it were 1960 any longer. Using data to make decisions and not policies based on politics. Smart means not prioritizing cars and educating the population there are smarter options.,Edu,Other,
Cleanliness for sure!,Enviro,,
Easy access to dashboards containing useful information in a real-time matter.  ,Edu,,
"Fiber internet for ALL, public accessibility ports, massive public transport infrastructure ",Mobility,,
"integrated services, increased efficiency (ex: smart lighting)",Util,,
"Lots of electricity available, indoor garden, temperature control. Nature.",Util,,
Easy connection to public services of all kinds; efficient public transportation; improved management of resources and services ,Mobility,,
Gimmicky labeling used by politicians to make me feel like itÕs worth voting for them.,Public,,
"Walkable cities, better public transportation, free-Wi-Fi, affordable housing, solutions for our increasing unhoused population ",Mobility,,
clear strategy to best use technology to improve the life style of its citizens and sustain such strategic objective,Connect,,
A unnecessary but flashy dept funneling important funds from key city functions ,DEI ,,
Increase smart traffic management of street lights. Increase access to wifi throughout the city. Plant more trees to decrease need for A/C power usage.,Util,,
"Spending money for things not in the city charter, quit for dung and lower taxes",DEI ,,
Equal to other cites our size and population ,DEI ,,
Technology advanced usage in the community and available to all.,Connect,,
"Clean air, smoke free, shade tree __, more park ",Enviro,,
"Cities that provide easy access to technology to everyone, regardless of income.",DEI ,,
they dont have ugly utility lines everywhere - is a smart city,DEI ,,
Cities that use technology to improve services and hence quality of life for all citizens. ,DEI ,,
Much better public transportation.   Easily accessible wifi/internet for all. Stable energy grid and energy delivery.  Lots of green spaces for recreational and for wildlife.  ,Mobility,,
Updated and modern,DEI ,,
Crowd sourcing as a solution to problems. ,Connect,,
"Sustainability, access to reliable public transportation, high walkability scores, equitable distribution of resources, sustainability , and connectivity ",Mobility,,
"Cities that use technology to make living, working, and commuting east, enjoyable, and affordable.",DEI ,,
"Electric grid is reliable, cleaner energy (nuclear), traffic managed ",Util,,
Cities that are using technology to help their citizens. ,DEI ,,
Internet access and availability to services thru computer ,IOT,,
"Inclusive,  progressive,  accessible,  sanitary,  sustainable,  resilient ",DEI ,,
"The use of sensors to efficiently control traffic, EV infrastructure, city Wi-Fi, fast connection to city services, electronic payments like getting on a bus and autopay from my device",IOT,,
"timed street signals, electric chargers for vehicles, clean, efficient public transit",Util,Enviro,
Cities that have more tech savvy populations perhaps due to language and/or age of its residents. ,DEI ,,
"Eco friendly, carbon foot print, taking accountability for government spending and using funds in a positive way",Enviro,,
Technology to improve city services ,IOT,,
"Environmentally smart, technology driven, and innovative transportation. ",Mobility,,
Trains.,Mobility,,
"Efficient, sustainable living",Util,,
Easy interface between citizens and its government and our local government and State and Federal government entities.,Govt Data,,
A city where our children can go to school to learn rather than fear the possibility of harm. A city where our teachers do not have to live in fear of harm while passionately teaching. ,Edu,,
City's with high speed internet access and options. Lots of places to get online and charge mobile devices.,Connect,,
Connected services & connected communications ,Connect,,
More eco-friendly and cost effective programs ,Enviro,Util,
A technologically modern city,DEI ,,
Computer aided government.  AI,IOT,,
Opportunity for integration and sustainable development but also security risks,DEI ,,
More efficient cities. Cities with rapid public transit; where itÕs easy to navigate via smart phone.,Connect,,
"A city that optimizes resources and use modern technologies to improve its residents lives. A city with limited suburban sprawl (San Antonio has a huge problem with that and apparently no one is doing anything about it), mixed used areas with medium/high density living buildings with condos at higher floors and retail space at street level (not just at the Pearl or Downtown, but everywhere), effective frequent and reliable public transportation including busses and light railway system, frequent train connections with other cities (it's ridiculous to have only one train per day to Austin that takes 3 hours to arrive there).",Mobility,,
Walkability/ public transport; environmental sustainability; connectedness esp public health info and resources ,Mobility,,
"City-wide WiFi, rail/tram systems.",Connect,,
Cities that have moved past car-dependent policies of the 1940s and 50s. San Francisco has an excellent public transit system and discourages cars in urban areas. It is great for residents and tourists alike to get around. There are fantastic city planning YouTube channels that give more info about public transit and city planning as it relates to car dependency,Mobility,,
Better safety and cheaper ways to transport,Mobility,Util,
Public Transit!!,Mobility,,
"Doing the most for the city and it's people using the best, affordable resources available at the time knowing that innovation does not stop.",DEI ,IOT,
Public transportation and walkable communities ,Mobility,,
"Heavy reliance on public transportation (buses, train), solar panels on every skyscraper, biodiverse parks and landscapes, water collection, rip out concrete drainage ditches and replace with living green ways to promote filtration, educate people about the importance of farming/native gardens",Mobility,,
Test,Other,,
Cleaner and better developed,Enviro,DEI ,
Safety,Cyber,,
Very innovative and energy savvy. ,Util,,
Easy to use technology ,Util,,
Pretty cities with great technology,DEI ,,
Community,DEI ,,
Well a lot of technology thatÕs for sure but I also see a lot of distractions due to technology ,Connect,,
More computer based services.,IOT,,
"Accessible Information to all, where to go for help fast",Connect,,
I would see it as a city that is hands on with more technology ,DEI ,,
The city innovating ways for the public to utilize those innovations that doesnÕt cause problems and/or peace of mind to trust the city.,Util,,
Less traffic and pollution ,Enviro,,
"Using data generated by the community to inform organizational, process, or technological innovation.",IOT,,
"A city that helps  the people in business 
",Public,,
A city of vary smart people,Edu,,
Tech enthusiast ,IOT,,
Technology ,IOT,,
Innovative technologies to reduce pollution and reduce time in public buildings,Enviro,,
"A team that helps our communities grow with better technology and services that expand the cities outreach. I also see smart cities as a team that looks to help serve the communities issues and how to combat those problems to make it better for people and people who are majorly affected. Also making the city more efficient, increasing awareness for technology, public transportation and bringing the community together. ",DEI ,,
Safe and accessible ,Util,,
New technology better improvement ,DEI ,IOT,
Centris de estudio gratuito,Other,,
A city that is up to date with smart tech ,IOT,,
All around help with least struggle,Other,,
Easy to commute ,Connect,,
More tech being used by public,Public,Connect,
"Energy conservation, efficiency and fast paced environment. ",Util,,
Technologically advanced,IOT,,
connected.,Connect,,
Easy access to technology.,Connect,,
Responding to needs of citizens,Connect,,
Technology,IOT,,
Technology higher,IOT,,
Future of SATX,Cyber,,
Forward thinking,DEI ,,
Flying vehicles,Mobility,,
"Smart is keeping the community safe. Analysimh the changes. People work from ho,Ed now. Neighbors blasting music at all hours isnÕt acceptable. Residential streets over crowded with cars. Each home should be limited to the amount of vehicles. Causes accidents and too dangerous for kids to play outside.",Mobility,Enviro,
Computers,IOT,,
"Ability to access services by way of apps, making it self serving",IOT,,
Environmentally innovative city ,Enviro,,
Using technology to improve access,IOT,,
Everything that is used through technology ,IOT,,
Everything on chargers ,Util,,
"Traffic, cleaness, environment air quality,",Enviro,,
Technologies y ciudada moderno,Connect,,
We still have a long way,Other,,
Tesla ,IOT,Mobility,
A city that uses the most up-to-date technology,DEI ,,
better technology and faster processes,IOT,,
Technology that helps you connect and access community services to improve your quality and safety of life ,Connect,IOT,
"SINGAPORE and FINLAND: Computerized environmentally-friendly city with lots of greenspace and futuristic public transportation and high-speed commuter rail, plug and play innovation spaces and innovation parks, healthcare booths around the city and in parks, experiments in desalination and sourcing water from Gulf, rain capture systems across city and new ponds and lakes with fish for fishing, forage-ready public gardens and fruit trees in all green spaces, green rooftops for existing buildings, new green buildings with green vines and trees climbing exteriors, biodomes, sidewalks, collaboration and support services for small businesses and innovators (including patenting, funding, and mentoring), new experiential learning education methods tested and used at all levels, public labs in parks, high-tech teaching and learning centers, dashboards for city services and natural resources, totally digitized public services, experiments in alternative and affordable housing (even using pods), free and safe wifi in parks and across all public spaces, experiments always active in innovation in all city services, collaborations between universities and city for innovation experiments, digital interactions between citizens and city officials and staff, use of holograms, electric vehicle infrastructure, future forward and green international direct flight airports and ports, more independent and small shops, cafes and restaurants, digitized and better timed street signals (not spy cameras for police), including and diversity considered in every decision, delivery pods and drones for groceries, packages, and mail, more public gathering and sharing spaces and platforms that match citizen's skills and needs, future job training for citizens, more biking areas, public art integrated in all public spaces, one central app for city services, thinkers groups, turning garbage dumps into hiking hills and trails, bio-packaging requirements, innovations in waste management.",Mobility,Enviro,
A city were technology is integrated to make human life easier and more automated ,DEI ,,
Cities that are high tech,DEI ,IOT,
A technology based city like San Francisco ,Connect,,
Environmentally safe and Smart with tech,Enviro,,
Technology based cities,Connect,,
"Stupid ideas from the city of San Antonio, allow the residents to speak",DEI ,,
No idea,Other,,
Idk,Other,,
Better communication ,Connect,,
"Invasion of my privacy ,a lot of efficiency but risk are  to much .",Cyber,,
Using tech features more than in the past.,DEI ,,
Doing things to improve city services,DEI ,,
Interconnection between public and private entities ,Connect,,
Downtowns and parks that have access to free internet.,Connect,,
Interactive and energy efficient,Util,,
Anything about City and itÕs services can be accessed on line. ,Connect,,
Growth,DEI ,,
Safety plans to improve our neighborhood and better pay for our first responders and policeman,Public,,
"Being able to address possible problems before they become a problem 

",DEI ,,
Wise use of resources on behalf of citizens,Util,,
Improvement in Technology,DEI ,,
Easy access to the internet,Connect,,
High tech,IOT,,
A lot of wasted funds as it applies mostly to those above the average income level,DEI ,,
access to public transportation. access to the internet,Mobility,Connect,
Cities using technology,Connect,,
Wide use of the internet to disseminate info,IOT,,
dumb people,Other,,
internet speed that is rated #1 in the USA,Connect,,
economic redevelopment. Lots of small business with mom and pop operations,DEI ,,
"All services available online.

Traffic management managed real time with all traffic flow devices linked and learning from machine learning algorithms and delivering optimization real-time.",Mobility,,
Walkable/bikeable accessibility to grocery stores/coffee shops/retail/ schools/parks,Mobility,Util,
A city that is connected and accessed virtually ,Connect,,
"Police and the District Representatives connecting with neighborhoods to help stop crime, by using lighting and cameras.",Connect,,
Flying cars and ease of mobility.,Mobility,,
"Cities that run more efficiently utilizing technology, community members, making access to communication networks more inclusive, and overall improvement of neighborhoods based on changes. Ex: new hospitals or emergency care services in every area for autistic residents ",Util,Connect,
Accessible technology. Transportation such as electric trains to commute within the city. Better road system.,Mobility,,
"Connected to technology in ways that help them in daily life, availability of internet access to help with information about things like traffic, weather, other services.",Connect,Govt Data,
No entiendo la pregunta,Other,,
Internet,Connect,,
A city that has internet for all and uses apps for communicating with citizens.,Connect,,
"Interconnected departments, services and technology that more seamlessly provides services to residents in an effective and efficient manner. ",Connect,Util,
Free widespread internet access; timed traffic signals; apps for public services and government access; free fast public transit that is reliable enough to use daily,Connect,,
"Cities that use tech effectively and efficiently, with focus on advancing sustainability while connecting the public voice and providing equal access to tech throughout the community.",Public,,
"Smart cities invest in high quality infrastructure, such as streets & drainage, public safety, and parks, that improves the daily lives of the community which allows the community to be safe, healthy and productive.",Public,Enviro,
"connectiviity and electricity, solar power",Connect,Util,
less cars! more alterative energy everywhere; wifi in all activation areas; outdoor classrooms in public areas ,Util,Enviro,
"Room for all needed things in new growth, including schools, libraries, parks, and safe streets and walkways with public transportation options",Mobility,,
"What comes to mind is control, cameras everywhere but at the same time opportunity to learn about new technology and how data is used.",Cyber,,
Innovation/risks,IOT,Cyber,
Innovation,IOT,,
Sustainable and all parts work together ,Connect,,
Working smarter not harder. See above. ,Connect,,
Technology better services environment ,Connect,,
Innovation ,IOT,,
Smart turning lanes. Lines light up to help keep cars in the appropriate lanes when turning.,Mobility,IOT,
Cities that are not just knowledgeable on technology but are willing to learn more.,Edu,IOT,
"Infrastructure, connectedness, informed",Connect,,
Readily available access to technology. ,Connect,Util,
"Connected and inclusive communities and systems that improve quality of life and increase efficiency, affordability, and sustainability.",DEI ,Connect,
"Rails, renewable energy sources, modern approaches and services",Util,Mobility,
Building a better form of technology and innovation ,IOT,Connect,
"A city that encourages small businesses, such as providing incentives for in demand markets ",DEI ,,
"Everything accessible and electronic
Easy to use",Connect,,
Online portal,Connect,,
More use of sustainable development ,DEI ,,
CityÕs that use technology in an advanced way to help the citizens ,Connect,,
Utilization of clean energy and ecological homes and buildings and environment and animal rights protection.,Util,,
"More green spaces, prioritizing solar power, and building other transportation options, such as light rail. I also think that the COSA has a lot to offer our youth when it comes to their available sports, cultural, and arts programs, however we need to promote this more so that more community members know about this and can participate. ",Util,,
"High speed trains, clean air",Enviro,Mobility,
Environmental friendly and innovative,Enviro,IOT,
Towns,DEI ,,
Technology. A.I.,DEI ,,
City with more technology ,Connect,,
Solar power,Util,,
Connect and smart,Connect,,
Es muy avansada la tecnologia hoy en dia pero una ciudad inteligente seria muy dificil entender ,Other,,
What comes to mind are more opportunities to develop technologies of the future here in San Antonio. I also think about more engineering and Computer Science programs for high schoolers and even middle schoolers.,Edu,IOT,
Cities with esports.,Connect,,
"Everything going digital
",IOT,,
"Public transport so good you don't need a car, and plenty of green spaces. A city build for people NOT vehicles ",Mobility,,
Technologically advanced and secure ,IOT,Connect,
A picture of a gadget plugged into a socket and a cell phone that turns on the lights (and turns off the lights when I am not there),Util,,
Smart cities include cities where all residents have access to Internet in their home. Also infrastructures are efficient and technologically advanced. ,IOT,Connect,
Cities designed for the people not the cars. But with great ports of entry (air/water/ground).,Util,,
Data-driven decision making on use of public funds.,Govt Data,,
High tech forms of transportation and ample high-tech interfaces and screens to facilitate daily activities and behaviors,Mobility,,
"Cities that provide efficient, responsive, resilient, and proactive services to their residents.",Connect,,
Information access,Connect,,
"Public transit that everyone wants to use and is convenient to all. 
Green infrastructure that makes our city more sustainable, resilient and climate ready. ",Mobility,Enviro,
"Accessibility to services and public spaces, accommodation and help for the ones who need it most. ",Public,,
City designed to be successful/thrive in 20 yrs,Connect,,
"Efficient public transportation that connects the entire city, while cutting back on carbon emissions. ",Mobility,,
"Free wifi, charging stations, apps that stream real time data on traffic,events,etc.",Util,,
"Good design, better connected, full of opportunity ",Connect,,
I'm not familiar with this term,Edu,,
"free, fast, and safe city-wide wifi; technology-enabled public transportation, reliable and sustainable power grid",Connect,,
A city that understands the important of development that's sustainable and equitable. We can be a leader on equity and climate! ,DEI ,,
I think of a tech industry run city instead of local government run city. I think of the tech as detached from the local person's goals or experiences.,Public,,
Cohesive working relationships focused on small business development across all industries.,Cyber,,
Connected infrastructure and ways for residents to plug into initiatives and self-organize around shared priorities in a transparent way. Efficiencies and economies of scale through tech investments and innovation. Tap into communal brainpower and lower bar to participation. Some of the best ideas may come from people who arenÕt tech savvy.,Public,Connect,
Advanced technology,IOT,,
WALKABLE CITIES WITH PUBLIC TRANSIT AND A HEALTHY ENVIRONMENT ,Enviro,IOT,
Integrated and useful to everyday activities ,IOT,,
Wi-Fi available everywhere. This is custom in Europe city centers and high traffic areas.,Connect,,
"Technologically savvy is what society will think, as a Clinical Nutritionist I wish it was that the citizens were educated on their health, Hosea 4:6",Public,,
Great infrastructure ,Other,,
"Wi-Fi access, smart lighting, safety ",Connect,IOT,
"A smart city would be a city that de-emphasizes the use of cars for transit and focuses on green solutions like light rail. One that prepares for the increasing heat with more tree cover, walkability, and bike infrastructure. ",Mobility,Enviro,
Emerging technology ,IOT,,
Big Brother,Other,,
"Sustainability, up-to-date technology, up-to-date transportation. ",Mobility,IOT,
Free Wi-Fi in certain areas. ,Connect,,
Cities that use technology and collect data on making improvements/how things are going in the city. ,Govt Data,IOT,
A technological city that uses technology for the good of the city and citizens. ,Public,IOT,
Environmentally efficient cityÕs with a low to zero carbon footprint.,Enviro,,
"Mitigation of traffic via intelligent traffic solutions, and intelligent grids to mitigate power consumption. ",Mobility,Util,
"high speed network communications, fast transit, improved traffic management",Mobility,Connect,
Efficient and affordable management of a city and all of its resources and population,Enviro,,
"An expansive city with commuter trains to take people to and from various places in the city, decongesting the city highways as well as more walker friendly areas.",Mobility,,
"Honestly, the term conjures mental images of wifi everywhere, surveillance cameras everywhere, person/phone tracking.  A lot of scary technocratic 'improvements' that fail to improve things but do mean everyone is giving up privacy.",Cyber,,
"Solar and electric cars, lights timed by the volume of traffic ",Mobility,Enviro,
"Cities that have a lot of hidden technology: smart intersections and useful utilities available, while also maintaining a level of greenery that keeps the city from looking like an urban wasteland",Enviro,Util,
A new buzzword for increased tax spending.,Govt Data,,
Transit,Mobility,,
"Public transportation, well-funded bus and train infrastructure, good internet and wi-fi connectivity.",Mobility,Connect,
Taking advantages of existing technology.  Creating new technology where needed.,IOT,,
Internet based access,Connect,,
Computer and high tech savvy.,Connect,,
A city where internet access ability isnÕt an issue,Connect,,
"Strong Towns. Walkable multi-use development. Efficient public transportation. A well developed society is not one where the poor drive cars, but where the rich take public transportation.",Mobility,,
Sensors everywhere feeding data back to the city to improve things like traffic and public safety,Cyber,Mobility,
City service information available mainly online. ,Govt Data,,
Protected Bike Lanes and sustainable forms of transit. A turn away from cars and single family zoning. A smart city should have mostly mixed used urban development. ,Mobility,,
"Efficiency - How do we do more while consuming less.  Public transportation is key, intelligent zoning, access to parks from the places where people live, less of a focus on ever expanding highways!",Mobility,,
not sure,Other,,
"Street lights, traffic signals, etc. linked to servers where issues can be seen, diagnosed, and corrected remotely and quickly. CCTV access for city services (police, fire, sanitation) to see problems perhaps before theyÕre even reported for swift action. Water sensors to automatically  alert SAWS of leaks/main breaks for quick shut-off and repair, to minimize water loss/waste. ",IOT,Util,
A city driven by technology to help enhance the lives of citizens.,Public,,
Big brother and that is unacceptable. ,Other,,
Using technology to improve a communities' way of life.,DEI ,,
Livability,Other,,
Cities that are up to date in technology,IOT,,
Connected with resources to enable citizens to leverage. This could including mapping utilities that tie traditional public transit with last mile transit. ,Public,,
IÕve seen Smart/Safe City develop elsewhere in the world as provided by Òstate-ownedÓ companies with alleged links to foreign intelligence agencies. Transparency and oversight by democratically elected officials and perhaps human/privacy rights NFPs will be essential for this concept to be successful in the United States. ,DEI ,,
Healthy cities,Public,,
When I think of smart cities I think of places like New York City who have public transportation all throughout the state of NY. ,DEI ,,
"I have an electro magnetic frequency sensitivity so I think of being electrocuted and having headaches from too much wireless. I hope you use wirED whenever possible to protect people like me. Also as a former military web mgr, I worry about hackers taking advantage of weak passwords.",Cyber,,
Technology that makes day to day easier,IOT,,
Seamless transportation options,Mobility,,
"Street side cafeÕs, lunch spots, live, work, play. ",Public,,
Waste of money.,Util,,
nothing,Other,,
Using the data to make our city better equipped ,Govt Data,,
Transportation- wifi everywhere ,Connect,,
"All the public services online, free access to wifi. ",Connect,,
probably more charging stations for cars and community open wi-fi,Connect,,
"A place where people are able to access internet with little/no cost, better/more affordable public transportation. Monitor and control traffic so that there is less gridlock. ",Mobility,Connect,
"Electric cars/public transportation, with the internet integrated throughout the city providing advanced forecasting and analytics.",Mobility,,
"Interconnection between public transportation, information on traffic and available city services, and use of technology to promote a healthy ecology/environment.",Mobility,Enviro,
"Moving toward the future with technology, making strides to making our city green and caring about the environment. However, when we make these improvements, we have to keep the learning level of all ages and abilities in mind. ",Enviro,Public,
"It makes me think of ""smart home"" but I don't think that's the intention",IOT,,
"Fiber internet, monorail-style city transportation, lessening our carbon footprint.",Mobility,Connect,
"Improved Education and education facilities for Children
Improved infrastructure
Better traffic
Improved safety and security of public",Edu,Public,
Easy to use free access to the Internet,Connect,,
,Other,,
"Data collection of cars, pedestrians, bicycles, and other form of transport for better decision making.",Mobility,,
"A city that makes decisions that positively impact the citizens, services and environment.",Public,DEI ,
Projects work in concerts (i.e. it is sad to see a new road tore up because the utilities underneath it weren't done in concert).,Other,,
Data and technology,Govt Data,,
"Rail system, shaded lush parks and rivers, no litter, no dependence on coal or gas ",Util,,
A public relations firm ,Public,,
"cities whose citizens have easy access to relevant, up to date technology and internet services ",Connect,,
The color orange tubing and blocked traffic lanes while the city allows Google to dig up the streets to convert parts of the city to high speed internet.,Mobility,Connect,
Light rail,Mobility,,
One who has planned for growth and all the challenges and needs of that. Need infrastructure to support it,Other,,
"Free wifi everywhere, easy connection to all city services and allowing any service that can be done in person to be done online",Connect,,
Accessible public transportation.,Mobility,,
"Public transit, light rail, side walks, bike lanes, and green ways. Not freeways full of uninsured oversized trucks and free range mattresses. ",Mobility,,
"Making dense urban areas more walkable and having convenient, affordable mass transit options and take away dependence on cats for transportation.",Mobility,,
"Streamline, affordable and simple public transport which keeps traffic low for those that must drive and offsets some pollution. Safe and clean walkways and parks for locals and visitors.",Mobility,,
free of crime,Cyber,,
"A city that isnÕt completely car-dependent and has reliable and convenient public transportation options. Until this city doesnÕt make me feel forced to operate a vehicle just to exist here, there can be nothing smart about it.",Mobility,,
"Energy-efficient public services, universally available gigabit fiber internet service, road networks that are designed with the latest techniques (no stroads) to preserve neighborhoods while increasing throughput of major routes.",IOT,Mobility,
Cities that better utilise space.,Util,,
"A city that incorporates many sectors and the public voice in the information it gathers to make decisions. Decisions are made with an eye on the future as well as current needs to create a healthy and safe city for all, not just the priveleged.",DEI ,Public,
"Easy access to all major areas of the city via reliable and fast public transit - that is, a more environmentally friendly and walkable city.",Mobility,Enviro,
Cuties with good and accesible public discourse,Public,,
Cities that are smart about their use of technology. ,IOT,,
"Expansive rail networks, with Wi-Fi access and amenities. ",Mobility,Connect,
Public rail systems.,Mobility,,
Variety of public transportation options and strong environmental considerations.,Mobility,Enviro,
"Using technology to address issues with housing, public transit, and public health",IOT,,
Easy to traverse cities with green technology,Mobility,Enviro,
"Walkable areas, with multiple modes of transportation available including rail. ",Mobility,,
Cities that are working towards the greater good while intertwining technology and smart infrastructure. ,Other,IOT,
"Walkable cities with fiber internet, job growth, public transportation, that utilize clean energy such as solar for public buildings, traffic lights etc, use water conservation efforts, and offer a robust recycling program",Enviro,IOT,
A city where technology is used to integrate systems & services to make it easier and faster for citizens to access what they need ,IOT,,
Clean cities ,Enviro,,
